!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E8I'  TableTitle=''  Document='D1 LTP time window'		
!Input_Time_S24	>S24	!Input_Time_S48	>S48
9.19	60	9.19	144.6992
9.2	60	9.2	141.8273
9.21	60	9.21	139.0216
9.22	60	9.22	136.2804
9.23	60	9.23	133.6024
9.24	60	9.24	130.9861
9.25	60	9.25	128.43
9.26	60	9.26	125.9328
9.27	60	9.27	123.4931
9.28	60	9.28	121.1096
9.29	60	9.29	118.7809
9.3	60	9.3	116.5059
9.31	60	9.31	114.2834
9.32	60	9.32	112.1119
9.33	60	9.33	109.9905
9.34	60	9.34	107.918
9.35	60	9.35	105.8932
9.36	60	9.36	103.915
9.37	60	9.37	101.9824
9.38	60	9.38	100.0943
9.39	60	9.39	98.2497
9.4	60	9.4	96.4475
9.41	60	9.41	94.6869
9.42	60	9.42	92.9668
9.43	60	9.43	91.2863
9.44	60	9.44	89.6446
9.45	60	9.45	88.0406
9.46	60	9.46	86.4736
9.47	60	9.47	84.9427
9.48	60	9.48	83.447
9.49	60	9.49	81.9858
9.5	60	9.5	80.5582
9.51	60	9.51	79.1635
9.52	60	9.52	77.8009
9.53	60	9.53	76.4697
9.54	60	9.54	75.1692
9.55	60	9.55	73.8986
9.56	60	9.56	72.6573
9.57	60	9.57	71.4446
9.58	60	9.58	70.2598
9.59	60	9.59	69.1022
9.6	60	9.6	67.9714
9.61	60	9.61	66.8666
9.62	60	9.62	65.7872
9.63	60	9.63	64.7327
9.64	60	9.64	63.7025
9.65	60	9.65	62.696
9.66	60	9.66	61.7127
9.67	60	9.67	60.752
9.68	60	9.68	59.8134
9.69	60	9.69	58.8965
9.7	60	9.7	58.0007
9.71	60	9.71	57.1255
9.72	60	9.72	56.2705
9.73	60	9.73	55.4352
9.74	60	9.74	54.6191
9.75	60	9.75	53.8218
9.76	60	9.76	53.0428
9.77	60	9.77	52.2818
9.78	60	9.78	51.5384
9.79	60	9.79	50.812
9.8	60	9.8	50.1024
9.81	60	9.81	49.4091
9.82	60	9.82	48.7318
9.83	60	9.83	48.0701
9.84	60	9.84	47.4236
9.85	60	9.85	46.792
